time	V(n002)	I(C1)	I(V1)
6.397204509703442e-01	6.019039e-01	-5.014406e+01	5.014406e+01
6.416735759703442e-01	4.996240e-01	-5.439347e+01	5.439347e+01
6.436267009703442e-01	3.898293e-01	-5.782475e+01	5.782475e+01
6.455798259703442e-01	2.741711e-01	-6.038628e+01	6.038628e+01
6.475329509703442e-01	1.543892e-01	-6.203956e+01	6.203956e+01
6.494860759703442e-01	3.228519e-02	-6.275970e+01	6.275970e+01
6.514392009703442e-01	-9.030447e-02	-6.253588e+01	6.253588e+01
6.533923259703442e-01	-2.115359e-01	-6.137146e+01	6.137146e+01
6.553454509703442e-01	-3.295856e-01	-5.928395e+01	5.928395e+01
6.572985759703442e-01	-4.426780e-01	-5.630476e+01	5.630476e+01
6.592517009703442e-01	-5.491121e-01	-5.247869e+01	5.247869e+01
6.612048259703442e-01	-6.472871e-01	-4.786330e+01	4.786330e+01
6.631579509703442e-01	-7.357263e-01	-4.252799e+01	4.252799e+01
6.651110759703442e-01	-8.130995e-01	-3.655303e+01	3.655303e+01
6.670642009703442e-01	-8.782429e-01	-3.002827e+01	3.002827e+01
6.690173259703442e-01	-9.301767e-01	-2.305187e+01	2.305187e+01
6.709704509703442e-01	-9.681197e-01	-1.572874e+01	1.572874e+01
6.729235759703442e-01	-9.915015e-01	-8.169030e+00	8.169030e+00
6.748767009703442e-01	-9.999700e-01	-4.864548e-01	4.864548e-01
6.768298259703442e-01	-9.933981e-01	7.203437e+00	-7.203437e+00
6.787829509703442e-01	-9.718845e-01	1.478498e+01	-1.478498e+01
6.807360759703442e-01	-9.357529e-01	2.214415e+01	-2.214415e+01
6.826892009703442e-01	-8.855467e-01	2.917025e+01	-2.917025e+01
6.846423259703442e-01	-8.220211e-01	3.575760e+01	-3.575760e+01
6.865954509703442e-01	-7.461315e-01	4.180712e+01	-4.180712e+01
6.885485759703442e-01	-6.590194e-01	4.722782e+01	-4.722782e+01
6.905017009703442e-01	-5.619950e-01	5.193818e+01	-5.193818e+01
6.924548259703442e-01	-4.565177e-01	5.586733e+01	-5.586733e+01
6.944079509703442e-01	-3.441739e-01	5.895619e+01	-5.895619e+01
6.963610759703442e-01	-2.266535e-01	6.115829e+01	-6.115829e+01
6.983142009703442e-01	-1.057239e-01	6.244051e+01	-6.244051e+01
7.002673259703442e-01	1.679580e-02	6.278358e+01	-6.278358e+01
7.022204509703442e-01	1.390629e-01	6.218231e+01	-6.218231e+01
7.041735759703442e-01	2.592384e-01	6.064577e+01	-6.064577e+01
7.061267009703442e-01	3.755146e-01	5.819706e+01	-5.819706e+01
7.080798259703442e-01	4.861428e-01	5.487301e+01	-5.487301e+01
7.100329509703442e-01	5.894589e-01	5.072362e+01	-5.072362e+01
7.119860759703442e-01	6.839091e-01	4.581130e+01	-4.581130e+01
7.139392009703442e-01	7.680726e-01	4.020994e+01	-4.020994e+01
7.158923259703442e-01	8.406836e-01	3.400378e+01	-3.400378e+01
7.178454509703442e-01	9.006499e-01	2.728617e+01	-2.728617e+01
7.197985759703442e-01	9.470696e-01	2.015815e+01	-2.015815e+01
7.217517009703442e-01	9.792445e-01	1.272694e+01	-1.272694e+01
7.237048259703442e-01	9.966906e-01	5.104296e+00	-5.104296e+00
7.256579509703442e-01	9.991456e-01	-2.595118e+00	2.595118e+00
